ID_expediente,Titulo,Fecha,Tipo,Sector,Ambito,Estado,Ultimo_resultado_web,Resultado_clasificado,Keywords_encontradas,URL_expediente,URL_resolucion
CFT/DE/149/25,NEXUN SP 3 S.L. / E-DISTRIBUCIÓN REDES DIGITALES S.L.U.  -PSFV BRASSICA-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde14925,https://www.cnmc.es/sites/default/files/6336639.pdf
CFT/DE/178/25,CAPWATT SOLAR ESP 13 S.L.U. / UFD  -PSFV LA HOYA I Y II-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde17825,https://www.cnmc.es/sites/default/files/6336659.pdf
CFT/DE/214/25,GLOBAL CELTIGAR S.L. GLOBAL FELUCIA  S.L. Y GLOBAL DONIGER S.L. / REE  -NUDO BELINCHÓN 400 KV-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde21425,https://www.cnmc.es/sites/default/files/6338526.pdf
CFT/DE/076/25,ADELANTA CORPORACION S.A. / REE  -NUDO BELESAR 220 KV-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde07625,https://www.cnmc.es/sites/default/files/6338532.pdf
CFT/DE/201/25,FFNEV III S.L.U. / REE  -ARRIGORRIAGA 2-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde20125,https://www.cnmc.es/sites/default/files/6338530.pdf
CFT/DE/190/25,AROCHE SOLAR S.L. Y PORTOFINO CAPITAL S.L. / REE  -NUDO ONDINAS 220 KV-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde19025,https://www.cnmc.es/sites/default/files/6338528.pdf
CFT/DE/199/25,RENOVALIA JUCAR S.L. / REE  -PSFV ESLA 1-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima; ARCHIVADO:archivar,https://www.cnmc.es/expedientes/cftde19925,https://www.cnmc.es/sites/default/files/6340417.pdf
CFT/DE/176/25,SOLAR BS 010 S.L./ I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -ST LA SERNA T2 15KV-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivar,https://www.cnmc.es/expedientes/cftde17625,https://www.cnmc.es/sites/default/files/6348915.pdf
CFT/DE/118/25,SOLAR BS 021 S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -ST ALCIRA T1-,2025-12-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde11825,https://www.cnmc.es/sites/default/files/6348918.pdf
CFT/DE/254/25,SISTEMAS ENERGETICOS OBERON S.L. / REE  -PE LÉCERA-,2026-01-08,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar,https://www.cnmc.es/expedientes/cftde25425,https://www.cnmc.es/sites/default/files/6349011.pdf
CFT/DE/233/25,ALERION SPAIN S.L.U. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -PE ZABALLA Y PE ZALDIARAN-,2026-01-08,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde23325,https://www.cnmc.es/sites/default/files/6349014.pdf
CFT/DE/104/25,MOEVE S.A. / E-DISTRIBUCIÓN REDES DIGITALES S.L.U.,2026-01-15,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde10425,https://www.cnmc.es/sites/default/files/6358859.pdf
CFT/DE/209/25,E-DISTRIBUCIÓN REDES DIGITALES S.L.U. / REE  -ST CRISTOBAL COLON 220 KV-,2026-01-15,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde20925,https://www.cnmc.es/sites/default/files/6358834.pdf
CFT/DE/147/24,ENERGÍA INAGOTABLE DE BUCEFALO Y SEIS MÁS / REE  -SET CATADAU 400 K-,2024-07-05,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar,https://www.cnmc.es/expedientes/cftde14724,https://www.cnmc.es/sites/default/files/5444500.pdf
CFT/DE/085/24,VILLARS STORAGE RENEWABLES CUATRO S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -004-STVIQ-,2024-07-18,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde08524,https://www.cnmc.es/sites/default/files/5444504.pdf
CFT/DE/221/23,NARANJO SOLAR S.L. Y PILOPITROPICA SOLAR S.L. / MEDINA GARVEY ELECTRICIDAD S.L.U.  -ST CHUCENA-,2024-07-18,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde22123,https://www.cnmc.es/sites/default/files/5444517.pdf
CFT/DE/321/23,GREEN CAPITAL DEVELOPMENT XVIII S.L.U. / REE  -PE LOS ROMANOS-,2024-07-11,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde32123,https://www.cnmc.es/sites/default/files/5444544.pdf
CFT/DE/065/24,ENERGÍA INAGOTABLE DE TANIA S.L. Y OTRAS / REE  -SET GAUSSA 400 K-,2024-04-18,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar,https://www.cnmc.es/expedientes/cftde06524,https://www.cnmc.es/sites/default/files/5299689.pdf
CFT/DE/165/23,MITRALEX ENERGÍA S.L. / RED ELÉCTRICA DE ESPAÑA S.A.,2024-04-25,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde16523,https://www.cnmc.es/sites/default/files/5299694.pdf
